======================================================================
          港口可贸易资源 - 数据变化分析报告
======================================================================

【一、总体变化概览】
--------------------------------------------------
  原数据总量: 11,408,000 吨
  新数据总量: 11,392,400 吨
  总量变化:   -15,600 吨
  新增数量:   3,323,400 吨 (44 笔)
  减少数量:   2,558,000 吨 (43 笔)
  数量变更:   43 笔

【二、供应商-货类维度增减统计】
--------------------------------------------------
  供应商          货类              原总量        新总量         变化      新增量    新增笔      减少量    减少笔
  象屿钢铁         瑞典球团         50,000     50,000          0        0      0        0      0
  福联           委内球团         15,000     15,000          0        0      0        0      0
  联拓           麦克粉          60,000     60,000          0        0      0        0      0
  瑞钢联          纽曼粉         170,000    170,000          0  170,000      1        0      0
  石丰源          PB粉          85,000     85,000          0        0      0        0      0
  河钢           乌精           10,000     10,000          0        0      0        0      0
  永锋           PB粉          30,000     30,000          0        0      0        0      0
  港信           乌精           60,000     60,000          0        0      0        0      0
  瑞莱克斯         金布巴粉         25,000     25,000          0        0      0        0      0
  物产炉料二部       混合粉         150,000    150,000          0        0      0        0      0
  凯航           麦克粉          10,000     10,000          0        0      0        0      0
  云贸           印度球团         60,000     60,000          0        0      0        0      0
  中资钢联         乌精           50,000     50,000          0        0      0        0      0
  冀东           纽曼块         100,000    100,000          0        0      0        0      0
  六安           乌精           47,000     47,000          0        0      0        0      0
  冀东           PB块          40,000     40,000          0        0      0        0      0
  云贸           PB粉         150,000    150,000          0        0      0        0      0
  亚融           印度球团         50,000     50,000          0        0      0        0      0
  五矿           乌精           30,000     30,000          0        0      0        0      0
  亚融/新中惠       金布巴粉         90,000     90,000          0        0      0        0      0
  亚融           麦克粉          10,000     10,000          0        0      0        0      0
  瑞钢联          智利球团         20,000     20,000          0        0      0        0      0
  瑞钢联          Samarco球     50,000     50,000          0        0      0        0      0
  瑞莱克斯         印度球团         13,000     13,000          0        0      0        0      0
  浙商中拓         超特粉         320,000    320,000          0        0      0        0      0
  海控           乌精           40,000     40,000          0   40,000      1   40,000      1
  湖北经合         金布巴粉        210,000    210,000          0        0      0        0      0
  蓝宝石          金布巴粉        280,000    280,000          0        0      0        0      0
  苏美达          麦克粉          30,000     30,000          0        0      0        0      0
  热联钢贸         麦克粉          35,000     33,000     -2,000        0      0        0      0
  瑞莱克斯         乌精           15,000     10,000     -5,000        0      0        0      0
  象屿鑫成         印度球团        138,000    133,000     -5,000        0      0        0      0
  象屿鑫成         伊朗球团         63,000     58,000     -5,000        0      0        0      0
  中拓建邦         纽曼粉          10,000      5,000     -5,000        0      0        0      0
  信宝泰          麦克粉          80,000     75,000     -5,000   75,000      1   80,000      1
  象石           瑞典球团         80,000     72,000     -8,000        0      0        0      0
  港信           麦克粉          18,000      9,000     -9,000        0      0        0      0
  环富           超特粉         140,000    131,000     -9,000        0      0        0      0
  象屿鑫成         纽曼粉          96,000     86,000    -10,000        0      0        0      0
  联拓           PB粉         230,000    220,000    -10,000  170,000      1  170,000      1
  中拓建邦         麦克粉          40,000     30,000    -10,000        0      0        0      0
  道富           PB粉          10,000          0    -10,000        0      0   10,000      1
  中资钢联         PB粉          10,000          0    -10,000        0      0   10,000      1
  天津佳联         麦克粉          30,000     20,000    -10,000        0      0        0      0
  永富           PB粉          10,000          0    -10,000        0      0   10,000      1
  嘉吉           超特粉          20,000     10,000    -10,000        0      0        0      0
  冀兆           超特粉          10,000          0    -10,000        0      0   10,000      1
  热联二部         PB粉          10,000          0    -10,000        0      0   10,000      1
  点石           PB粉          10,000          0    -10,000        0      0   10,000      1
  鑫海华运         PB粉          10,000          0    -10,000        0      0   10,000      1
  物产国贸三部       麦克粉          30,000     20,000    -10,000        0      0        0      0
  杭钢国贸         麦克粉          60,000     50,000    -10,000        0      0        0      0
  新投           乌精          140,000    130,000    -10,000        0      0        0      0
  亚融           俄罗斯球团        30,000     19,000    -11,000        0      0        0      0
  物产炉料二部       纽曼粉          15,000          0    -15,000        0      0   15,000      1
  六安           金布巴粉         17,000          0    -17,000        0      0   17,000      1
  浙商中拓         PB粉          69,000     50,000    -19,000        0      0        0      0
  托克           纽曼粉          20,000          0    -20,000        0      0   20,000      1
  孚鑫矿产         乌精           20,000          0    -20,000        0      0   20,000      1
  FMG          超特粉         660,000    640,000    -20,000  250,000      1  250,000      1
  道富           金布巴粉         20,000          0    -20,000        0      0   20,000      1
  嘉能可          混合粉         472,000    450,000    -22,000        0      0   22,000      1
  山铁           金布巴粉         40,000     15,000    -25,000        0      0        0      0
  物产国贸三部       PB块          25,000          0    -25,000        0      0   25,000      1
  信宝泰          金布巴粉         60,000     34,000    -26,000        0      0   20,000      1
  永锋           乌精           27,000          0    -27,000        0      0   27,000      1
  新投           麦克粉          40,000     10,000    -30,000        0      0   30,000      1
  瑞钢联          PB块          30,000          0    -30,000        0      0   30,000      1
  普阳/六安        PB粉          80,000     48,000    -32,000        0      0        0      0
  维多           金布巴粉        240,000    206,000    -34,000        0      0        0      0
  BHP          纽曼块         480,000    440,000    -40,000  300,000      2  240,000      1
  厦门国贸         麦克粉         130,000     90,000    -40,000        0      0        0      0
  热联二部         麦克粉          40,000          0    -40,000        0      0   40,000      1
  广石           乌精           50,000      8,000    -42,000        0      0        0      0
  象石           麦克粉         160,000    117,000    -43,000   57,000      1   70,000      1
  瑞钢联          金布巴粉         90,000     40,000    -50,000   40,000      1   90,000      1
  建发           PB粉         103,000     53,000    -50,000        0      0        0      0
  BHP          金布巴粉        518,000    466,000    -52,000        0      0   20,000      1
  联拓           乌精          198,000    138,000    -60,000   30,000      1   90,000      2
  热联一部         纽曼块          80,000          0    -80,000        0      0   80,000      1
  嘉能可          超特粉         230,000    150,000    -80,000        0      0        0      0
  瑞钢联          超特粉         130,000     50,000    -80,000        0      0        0      0
  物产           麦克粉          90,000          0    -90,000        0      0   90,000      1
  热联一部         纽曼粉         150,000     40,000   -110,000        0      0   80,000      1
  厦门国贸         乌精          250,000          0   -250,000        0      0  250,000      2

【三、按供应商汇总统计】
--------------------------------------------------
  供应商                 原总量        新总量         变化      新增量    新增笔      减少量    减少笔
  -----------------------------------------------------------------------------
  陆海              360,000    650,000   +290,000  290,000      2  170,000      1
  环富              140,000    301,000   +161,000  170,000      1        0      0
  厦门国贸矿业                0    160,000   +160,000  160,000      1        0      0
  嘉吉               20,000    175,000   +155,000  165,000      1        0      0
  广物中南                  0    110,000   +110,000  110,000      1        0      0
  山东良善                  0     90,000    +90,000   90,000      1        0      0
  象屿鑫成            615,000    697,000    +82,000  107,000      3   10,000      1
  团发              135,000    208,000    +73,000  152,000      2   72,000      3
  厦门国贸冶矿                0     60,000    +60,000   60,000      1        0      0
  屿丰                    0     50,000    +50,000   50,000      1        0      0
  杭钢外贸             35,000     73,000    +38,000   38,000      1        0      0
  建发              342,000    372,000    +30,000  150,000      4   80,000      1
  新湖               46,000     73,000    +27,000   27,000      1        0      0
  热联                    0     20,000    +20,000   20,000      1        0      0
  苏美达              50,000     70,000    +20,000   20,000      1        0      0
  普阳                    0     20,000    +20,000   20,000      1        0      0
  冀东              250,000    270,000    +20,000   20,000      1        0      0
  热联钢贸             35,000     53,000    +18,000   20,000      1        0      0
  Fomento               0     17,000    +17,000   17,000      1        0      0
  富驰                    0     10,000    +10,000   10,000      1        0      0
  亚融              110,000    119,000     +9,000   10,000      1        0      0
  象屿张家港                 0      5,400     +5,400    5,400      1        0      0
  上海希帕蒂娅           55,000     55,000          0        0      0        0      0
  上海润鹤            300,000    300,000          0  200,000      1  200,000      1
  云贸              210,000    210,000          0        0      0        0      0
  中兖              240,000    240,000          0        0      0        0      0
  湖北经合            210,000    210,000          0        0      0        0      0
  点石               10,000     10,000          0   10,000      1   10,000      1
  海控               40,000     40,000          0   40,000      1   40,000      1
  金开               55,000     55,000          0        0      0        0      0
  中信              185,000    185,000          0        0      0        0      0
  山东禾象            100,000    100,000          0   90,000      1   90,000      1
  蓝宝石             280,000    280,000          0        0      0        0      0
  石丰源              85,000     85,000          0        0      0        0      0
  河钢               10,000     10,000          0        0      0        0      0
  冀兆               10,000     10,000          0   10,000      1   10,000      1
  凯创/坤强            75,000     75,000          0        0      0        0      0
  凯航               20,000     20,000          0        0      0        0      0
  象屿钢铁            150,000    150,000          0        0      0        0      0
  福联               15,000     15,000          0        0      0        0      0
  亚融/新中惠           90,000     90,000          0        0      0        0      0
  五矿               30,000     30,000          0        0      0        0      0
  瑞莱克斯             53,000     48,000     -5,000        0      0        0      0
  港信               78,000     69,000     -9,000        0      0        0      0
  鑫海华运             10,000          0    -10,000        0      0   10,000      1
  中资钢联             60,000     50,000    -10,000        0      0   10,000      1
  杭钢国贸             60,000     50,000    -10,000        0      0        0      0
  天津佳联             30,000     20,000    -10,000        0      0        0      0
  永富               10,000          0    -10,000        0      0   10,000      1
  中拓建邦             50,000     35,000    -15,000        0      0        0      0
  物产炉料二部          256,000    241,000    -15,000        0      0   15,000      1
  六安               64,000     47,000    -17,000        0      0   17,000      1
  浙商中拓            389,000    370,000    -19,000        0      0        0      0
  FMG             660,000    640,000    -20,000  250,000      1  250,000      1
  托克               20,000          0    -20,000        0      0   20,000      1
  孚鑫矿产             20,000          0    -20,000        0      0   20,000      1
  山铁              200,000    175,000    -25,000        0      0        0      0
  永锋               57,000     30,000    -27,000        0      0   27,000      1
  道富               30,000          0    -30,000        0      0   30,000      2
  信宝泰             140,000    109,000    -31,000   75,000      1  100,000      2
  普阳/六安            80,000     48,000    -32,000        0      0        0      0
  维多              240,000    206,000    -34,000        0      0        0      0
  物产国贸三部           55,000     20,000    -35,000        0      0   25,000      1
  新投              180,000    140,000    -40,000        0      0   30,000      1
  广石               50,000      8,000    -42,000        0      0        0      0
  热联二部             50,000          0    -50,000        0      0   50,000      2
  象石              240,000    189,000    -51,000   57,000      1   70,000      1
  瑞钢联             840,000    780,000    -60,000  380,000      3  150,000      3
  联拓              598,000    528,000    -70,000  200,000      2  260,000      3
  物产               90,000          0    -90,000        0      0   90,000      1
  BHP             998,000    906,000    -92,000  300,000      2  260,000      2
  嘉能可             762,000    660,000   -102,000        0      0   22,000      1
  热联一部            230,000     40,000   -190,000        0      0  160,000      2
  厦门国贸            500,000    210,000   -290,000        0      0  250,000      2

【四、按货类汇总统计】
--------------------------------------------------
  货类                原总量        新总量         变化      新增量    新增笔      减少量    减少笔
  ---------------------------------------------------------------------------
  PB粉         2,132,000  2,553,000   +421,000 1,042,000      8  640,000     11
  麦克粉         1,424,000  1,515,400    +91,400  602,400      8  400,000      6
  加拿大球团               0     38,000    +38,000   38,000      1        0      0
  超特粉         1,510,000  1,546,000    +36,000  495,000      9  260,000      2
  委内球团           15,000     15,000          0        0      0        0      0
  Samarco球团      50,000     50,000          0        0      0        0      0
  智利球团           20,000     20,000          0        0      0        0      0
  澳洲球团           60,000     60,000          0        0      0        0      0
  印度球团          316,000    311,000     -5,000        0      0        0      0
  伊朗球团          163,000    158,000     -5,000        0      0        0      0
  瑞典球团          130,000    122,000     -8,000        0      0        0      0
  俄罗斯球团          30,000     19,000    -11,000        0      0        0      0
  混合粉           742,000    720,000    -22,000        0      0   22,000      1
  PB块            95,000     40,000    -55,000        0      0   55,000      2
  乌精          1,640,000  1,544,000    -96,000  462,000      7  499,000     10
  纽曼块           660,000    540,000   -120,000  300,000      2  320,000      2
  纽曼粉           611,000    488,000   -123,000  287,000      4  195,000      4
  金布巴粉        1,810,000  1,653,000   -157,000   97,000      5  167,000      5

【五、新增记录明细】
--------------------------------------------------
    1. [PB粉] 上海润鹤 | 数量: 200,000 吨 | 港口: 日照港 | 船名: 力拓郑和
    2. [PB粉] 普阳 | 数量: 20,000 吨 | 港口: 日照港 | 船名: 卡尔赛/恒美
    3. [PB粉] 联拓 | 数量: 170,000 吨 | 港口: 日照港 | 船名: 博格
    4. [PB粉] 陆海 | 数量: 120,000 吨 | 港口: 日照港 | 船名: 卡尔塞
    5. [PB粉] 象屿鑫成 | 数量: 22,000 吨 | 港口: 岚山港 | 船名: 交响乐
    6. [PB粉] 瑞钢联 | 数量: 170,000 吨 | 港口: 日照港 | 船名: 海龙
    7. [PB粉] 陆海 | 数量: 170,000 吨 | 港口: 日照港 | 船名: 成功
    8. [PB粉] 环富 | 数量: 170,000 吨 | 港口: 日照港 | 船名: 中华和谐
    9. [纽曼粉] 新湖 | 数量: 27,000 吨 | 港口: 岚山港 | 船名: 马兰梦幻
   10. [纽曼粉] 富驰 | 数量: 10,000 吨 | 港口: 岚山港 | 船名: 马兰梦幻
   11. [纽曼粉] 建发 | 数量: 80,000 吨 | 港口: 连云港 | 船名: 马兰灿烂
   12. [纽曼粉] 瑞钢联 | 数量: 170,000 吨 | 港口: 连云港 | 船名: 安纳普尔纳
   13. [麦克粉] 山东禾象 | 数量: 90,000 吨 | 港口: 日照港 | 船名: 金科熊
   14. [麦克粉] 信宝泰 | 数量: 75,000 吨 | 港口: 日照港 | 船名: 林格
   15. [麦克粉] 点石 | 数量: 10,000 吨 | 港口: 日照港 | 船名: 林格
   16. [麦克粉] 山东良善 | 数量: 90,000 吨 | 港口: 日照港 | 船名: 纽约
   17. [麦克粉] 象屿张家港 | 数量: 5,400 吨 | 港口: 岚山港 | 船名: 斯蒂尔山
   18. [麦克粉] 象石 | 数量: 57,000 吨 | 港口: 连云港 | 船名: 奥斯特莉亚
   19. [麦克粉] 嘉吉 | 数量: 165,000 吨 | 港口: 日照港 | 船名: 远信海
   20. [麦克粉] 广物中南 | 数量: 110,000 吨 | 港口: 日照港 | 船名: 恒耀
   21. [金布巴粉] 冀兆 | 数量: 10,000 吨 | 港口: 日照港 | 船名: 中钢光辉
   22. [金布巴粉] Fomento | 数量: 17,000 吨 | 港口: 岚山港 | 船名: 卡帕丝蓓绮
   23. [金布巴粉] 亚融 | 数量: 10,000 吨 | 港口: 岚山港 | 船名: 卡帕丝蓓绮
   24. [金布巴粉] 建发 | 数量: 20,000 吨 | 港口: 连云港 | 船名: 领域
   25. [金布巴粉] 瑞钢联 | 数量: 40,000 吨 | 港口: 连云港 | 船名: 领域
   26. [纽曼块] BHP | 数量: 240,000 吨 | 港口: 日照港 | 船名: 天宝
   27. [纽曼块] BHP | 数量: 60,000 吨 | 港口: 岚山港 | 船名: 奋斗
   28. [加拿大球团] 杭钢外贸 | 数量: 38,000 吨 | 港口: 日照港 | 船名: 阿波罗
   29. [乌精] 厦门国贸冶矿 | 数量: 60,000 吨 | 港口: 岚山港 | 船名: 舟山
   30. [乌精] 海控 | 数量: 40,000 吨 | 港口: 岚山港 | 船名: 的益信心
   31. [乌精] 联拓 | 数量: 30,000 吨 | 港口: 岚山港 | 船名: 的益信心
   32. [乌精] 厦门国贸矿业 | 数量: 160,000 吨 | 港口: 岚山港 | 船名: 艾尔斯
   33. [乌精] 苏美达 | 数量: 20,000 吨 | 港口: 岚山港 | 船名: 感恩
   34. [乌精] 团发 | 数量: 80,000 吨 | 港口: 岚山港 | 船名: 感恩
   35. [乌精] 团发 | 数量: 72,000 吨 | 港口: 岚山港 | 船名: 感恩
   36. [超特粉] 建发 | 数量: 20,000 吨 | 港口: 日照港 | 船名: 妮蒂女士
   37. [超特粉] 热联钢贸 | 数量: 20,000 吨 | 港口: 日照港 | 船名: 妮蒂女士
   38. [超特粉] 屿丰 | 数量: 50,000 吨 | 港口: 日照港 | 船名: 伯格
   39. [超特粉] 象屿鑫成 | 数量: 50,000 吨 | 港口: 日照港 | 船名: 伯格
   40. [超特粉] 热联 | 数量: 20,000 吨 | 港口: 日照港 | 船名: 伯格
   41. [超特粉] 冀东 | 数量: 20,000 吨 | 港口: 日照港 | 船名: 伯格
   42. [超特粉] 建发 | 数量: 30,000 吨 | 港口: 连云港 | 船名: 比速8/香港海/海皇
   43. [超特粉] FMG | 数量: 250,000 吨 | 港口: 连云港 | 船名: 印地希望
   44. [超特粉] 象屿鑫成 | 数量: 35,000 吨 | 港口: 连云港 | 船名: 国银黄河

【六、减少记录明细】
--------------------------------------------------
    1. [PB粉] 热联二部 | 数量: 10,000 吨 | 港口: 日照港 | 船名: 夜空
    2. [PB粉] 象屿鑫成 | 数量: 10,000 吨 | 港口: 日照港 | 船名: 夜空
    3. [PB粉] 永富 | 数量: 10,000 吨 | 港口: 日照港 | 船名: 巫山
    4. [PB粉] 中资钢联 | 数量: 10,000 吨 | 港口: 日照港 | 船名: 林加尼
    5. [PB粉] 鑫海华运 | 数量: 10,000 吨 | 港口: 日照港 | 船名: 林加尼
    6. [PB粉] 道富 | 数量: 10,000 吨 | 港口: 日照港 | 船名: 卡迪
    7. [PB粉] 联拓 | 数量: 170,000 吨 | 港口: 日照港 | 船名: 博格
    8. [PB粉] 陆海 | 数量: 170,000 吨 | 港口: 日照港 | 船名: 卡尔塞
    9. [PB粉] 点石 | 数量: 10,000 吨 | 港口: 岚山港 | 船名: 库克
   10. [PB粉] 瑞钢联 | 数量: 30,000 吨 | 港口: 连云港 | 船名: 内阁
   11. [PB粉] 上海润鹤 | 数量: 200,000 吨 | 港口: 日照港 | 船名: 力拓郑和
   12. [纽曼粉] 托克 | 数量: 20,000 吨 | 港口: 岚山港 | 船名: 马兰梦幻
   13. [纽曼粉] 物产炉料二部 | 数量: 15,000 吨 | 港口: 岚山港 | 船名: 马兰梦幻
   14. [纽曼粉] 热联一部 | 数量: 80,000 吨 | 港口: 连云港 | 船名: 双喜
   15. [纽曼粉] 建发 | 数量: 80,000 吨 | 港口: 连云港 | 船名: 马兰灿烂
   16. [麦克粉] 热联二部 | 数量: 40,000 吨 | 港口: 岚山港 | 船名: 金色地平线
   17. [麦克粉] 山东禾象 | 数量: 90,000 吨 | 港口: 日照港 | 船名: 金科熊
   18. [麦克粉] 象石 | 数量: 70,000 吨 | 港口: 连云港 | 船名: 奥斯特莉亚
   19. [麦克粉] 信宝泰 | 数量: 80,000 吨 | 港口: 日照港 | 船名: 林格
   20. [麦克粉] 物产 | 数量: 90,000 吨 | 港口: 日照港 | 船名: 纽约
   21. [麦克粉] 新投 | 数量: 30,000 吨 | 港口: 日照港 | 船名: ZHONG XING HAI
   22. [金布巴粉] BHP | 数量: 20,000 吨 | 港口: 日照港 | 船名: 河北浩瀚
   23. [金布巴粉] 信宝泰 | 数量: 20,000 吨 | 港口: 日照港 | 船名: 蒙娜丽莎
   24. [金布巴粉] 道富 | 数量: 20,000 吨 | 港口: 日照港 | 船名: 蒙娜丽莎
   25. [金布巴粉] 六安 | 数量: 17,000 吨 | 港口: 岚桥港 | 船名: 山东复兴
   26. [金布巴粉] 瑞钢联 | 数量: 90,000 吨 | 港口: 连云港 | 船名: 领域
   27. [PB块] 物产国贸三部 | 数量: 25,000 吨 | 港口: 岚山港 | 船名: 阿尔法诚实
   28. [PB块] 瑞钢联 | 数量: 30,000 吨 | 港口: 连云港 | 船名: 红梅
   29. [纽曼块] 热联一部 | 数量: 80,000 吨 | 港口: 连云港 | 船名: 布罗德峰
   30. [纽曼块] BHP | 数量: 240,000 吨 | 港口: 日照港 | 船名: 天宝
   31. [乌精] 团发 | 数量: 16,000 吨 | 港口: 岚山港 | 船名: 艾德文
   32. [乌精] 厦门国贸 | 数量: 80,000 吨 | 港口: 岚山港 | 船名: 舟山
   33. [乌精] 永锋 | 数量: 27,000 吨 | 港口: 岚山港 | 船名: 德义信心
   34. [乌精] 海控 | 数量: 40,000 吨 | 港口: 岚山港 | 船名: 德义信心
   35. [乌精] 联拓 | 数量: 30,000 吨 | 港口: 岚山港 | 船名: 德义信心
   36. [乌精] 团发 | 数量: 6,000 吨 | 港口: 岚山港 | 船名: 比格尔
   37. [乌精] 团发 | 数量: 50,000 吨 | 港口: 岚山港 | 船名: 瀛洲
   38. [乌精] 孚鑫矿产 | 数量: 20,000 吨 | 港口: 岚桥港 | 船名: 朱利尔
   39. [乌精] 厦门国贸 | 数量: 170,000 吨 | 港口: 岚山港 | 船名: 艾尔斯
   40. [乌精] 联拓 | 数量: 60,000 吨 | 港口: 岚山港 | 船名: 荣耀
   41. [超特粉] 冀兆 | 数量: 10,000 吨 | 港口: 日照港 | 船名: 福蒙多/海豚
   42. [超特粉] FMG | 数量: 250,000 吨 | 港口: 连云港 | 船名: 印地希望
   43. [混合粉] 嘉能可 | 数量: 22,000 吨 | 港口: 连云港 | 船名: 比速8

【七、数量变更明细】
--------------------------------------------------
    1. [乌精] 广石 | 奇亚拉 | 50,000 → 8,000 (减少 42,000 吨)
    2. [乌精] 象屿鑫成 | 天坛座 | 90,000 → 93,000 (增加 3,000 吨)
    3. [金布巴粉] 维多 | 马兰地平线 | 120,000 → 46,000 (减少 74,000 吨)
    4. [麦克粉] 港信 | 凯莉公主 | 18,000 → 9,000 (减少 9,000 吨)
    5. [麦克粉] 物产国贸三部 | 天使希望 | 30,000 → 20,000 (减少 10,000 吨)
    6. [纽曼块] BHP | 南克罗斯 | 150,000 → 80,000 (减少 70,000 吨)
    7. [俄罗斯球团] 亚融 | 莉娜 | 30,000 → 19,000 (减少 11,000 吨)
    8. [PB粉] 建发 | 林加尼 | 20,000 → 10,000 (减少 10,000 吨)
    9. [麦克粉] 天津佳联 | 马兰旅者 | 30,000 → 20,000 (减少 10,000 吨)
   10. [金布巴粉] 信宝泰 | 宝仪 | 40,000 → 34,000 (减少 6,000 吨)
   11. [纽曼粉] 中拓建邦 | 马兰梦幻 | 10,000 → 5,000 (减少 5,000 吨)
   12. [乌精] 团发 | 贝尔 | 40,000 → 38,000 (减少 2,000 吨)
   13. [乌精] 新投 | 里拉岛 | 80,000 → 70,000 (减少 10,000 吨)
   14. [超特粉] FMG | 优雅 | 70,000 → 50,000 (减少 20,000 吨)
   15. [伊朗球团] 象屿鑫成 | 快乐海洋 | 63,000 → 58,000 (减少 5,000 吨)
   16. [纽曼粉] 热联一部 | 星梦 | 70,000 → 40,000 (减少 30,000 吨)
   17. [金布巴粉] 亚融 | 蒙娜丽莎 | 20,000 → 30,000 (增加 10,000 吨)
   18. [麦克粉] 中拓建邦 | 翡翠山 | 40,000 → 30,000 (减少 10,000 吨)
   19. [麦克粉] 厦门国贸 | 海豚 | 130,000 → 90,000 (减少 40,000 吨)
   20. [PB粉] 联拓 | 亚历山大 | 60,000 → 50,000 (减少 10,000 吨)
   21. [乌精] 象屿鑫成 | 向洋 | 170,000 → 124,000 (减少 46,000 吨)
   22. [超特粉] 嘉能可 | 戴维德 | 230,000 → 150,000 (减少 80,000 吨)
   23. [乌精] 团发 | 荣耀 | 23,000 → 18,000 (减少 5,000 吨)
   24. [瑞典球团] 象石 | 佩尔鲁斯 | 80,000 → 72,000 (减少 8,000 吨)
   25. [超特粉] 瑞钢联 | 福蒙多/妮蒂女士 | 130,000 → 50,000 (减少 80,000 吨)
   26. [超特粉] 环富 | 中海兴旺 | 40,000 → 31,000 (减少 9,000 吨)
   27. [乌精] 象屿鑫成 | 申发 | 48,000 → 96,000 (增加 48,000 吨)
   28. [麦克粉] 建发 | 马兰灿烂 | 10,000 → 20,000 (增加 10,000 吨)
   29. [麦克粉] 杭钢国贸 | 衡山 | 60,000 → 50,000 (减少 10,000 吨)
   30. [印度球团] 象屿鑫成 | 米尔米顿 | 71,000 → 66,000 (减少 5,000 吨)
   31. [金布巴粉] 山铁 | 福门托 | 40,000 → 15,000 (减少 25,000 吨)
   32. [纽曼块] BHP | 地平线 | 90,000 → 60,000 (减少 30,000 吨)
   33. [乌精] 瑞莱克斯 | 艾德文 | 15,000 → 10,000 (减少 5,000 吨)
   34. [麦克粉] 热联钢贸 | 广元海 | 35,000 → 33,000 (减少 2,000 吨)
   35. [金布巴粉] 维多 | 中钢光辉 | 120,000 → 160,000 (增加 40,000 吨)
   36. [PB粉] 浙商中拓 | 阿内托山 | 44,000 → 25,000 (减少 19,000 吨)
   37. [PB粉] 瑞钢联 | 中海顺和 | 170,000 → 150,000 (减少 20,000 吨)
